1	|	Akkermansia muciniphila	|	 	|	239935 239934 1647988 48461 203494 74201 1783257 2 131567 
1	|	Alcanivorax borkumensis	|	 	|	59754 59753 224372 135619 1236 1224 2 131567 
1	|	Alces alces alces	|	 	|	9853 9852 9851 9881 9850 35500 9845 91561 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Aliarcobacter butzleri	|	 	|	28197 2321111 2808963 213849 3031852 29547 2 131567 
1	|	Aliivibrio fischeri	|	 	|	668 511678 641 135623 1236 1224 2 131567 
1	|	Aliivibrio salmonicida	|	 	|	40269 511678 641 135623 1236 1224 2 131567 
1	|	Alkalihalobacillus clausii	|	 	|	79880 2675234 186817 1385 91061 1239 1783272 2 131567 
1	|	Alkalilimnicola ehrlichii	|	 	|	351052 133193 72276 135613 1236 1224 2 131567 
1	|	Alkaliphilus metalliredigens	|	 	|	208226 114627 31979 186802 186801 1239 1783272 2 131567 
1	|	Alkaliphilus oremlandii	|	 	|	461876 114627 31979 186802 186801 1239 1783272 2 131567 
1	|	Alkhumra hemorrhagic fever virus	|	 	|	172148 33743 11051 11050 2732545 2732462 2732406 2732396 2559587 10239 
1	|	Allochrocebus lhoesti	|	 	|	100224 2059839 9528 9527 314294 9526 314293 376913 9443 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Allochrocebus solatus	|	 	|	147650 2059839 9528 9527 314294 9526 314293 376913 9443 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Alouatta belzebul	|	 	|	30590 9499 38066 378855 9479 314293 376913 9443 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Alouatta sara	|	 	|	121123 9499 38066 378855 9479 314293 376913 9443 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Alouatta seniculus	|	 	|	9503 9499 38066 378855 9479 314293 376913 9443 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Alphapapillomavirus 8	|	 	|	333757 333750 2169595 151340 2732533 2732421 2732415 2732092 2731342 10239 
1	|	Alphapolyomavirus mauratus	|	 	|	1891729 1891713 151341 2732532 2732421 2732415 2732092 2731342 10239 
1	|	Alphapolyomavirus muris	|	 	|	1891730 1891713 151341 2732532 2732421 2732415 2732092 2731342 10239 
1	|	Alternaria alternata	|	 	|	5599 187734 2499237 5598 28556 715340 92860 451868 147541 715962 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Alternaria brassicicola	|	 	|	29001 2499238 5598 28556 715340 92860 451868 147541 715962 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Alteromonas mediterranea	|	 	|	314275 226 2903219 72275 135622 1236 1224 2 131567 
1	|	Amaranthus hybridus	|	 	|	3565 3564 3563 3524 1437201 91827 71240 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
1	|	Amaranthus hypochondriacus	|	 	|	28502 3564 3563 3524 1437201 91827 71240 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
1	|	Amborella trichopoda	|	 	|	13333 13332 22097 261009 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
1	|	Ammotragus lervia	|	 	|	9899 9898 9963 9895 35500 9845 91561 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Anaeromyxobacter dehalogenans	|	 	|	161493 161492 1524215 80811 29 32015 2818505 2 131567 
1	|	Anaeromyxobacter sp.	|	 	|	1872521 2620896 161492 1524215 80811 29 32015 2818505 2 131567 
1	|	Anaplasma marginale	|	 	|	770 768 942 766 28211 1224 2 131567 
1	|	Ancylostoma caninum	|	 	|	29170 29169 53469 33278 2572558 6308 119089 6231 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Andes orthohantavirus	|	 	|	1980456 1980442 2560074 1980413 1980410 2497576 2497571 2497569 2732396 2559587 10239 
1	|	Androctonus australis	|	 	|	6858 6857 6856 70336 259437 6855 6854 6843 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Aneura mirabilis	|	 	|	280810 70217 39024 34158 186781 186771 3195 3193 131221 35493 33090 2759 131567 
1	|	Angiopteris evecta	|	 	|	13825 3266 3265 3264 1521259 241806 78536 58023 3193 131221 35493 33090 2759 131567 
1	|	Anguilla anguilla	|	 	|	7936 7935 7934 7933 32521 186624 1489340 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Anoxybacillus flavithermus	|	 	|	33934 150247 186817 1385 91061 1239 1783272 2 131567 
1	|	Anthoceros angustus	|	 	|	48387 3233 13811 13810 405585 402688 13809 3193 131221 35493 33090 2759 131567 
1	|	Antirrhinum majus	|	 	|	4151 4150 216780 156152 4143 91888 71274 1437201 91827 71240 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
1	|	Antrozous pallidus	|	 	|	9440 9439 9431 30560 9397 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Aotus azarai	|	 	|	30591 9504 376918 9479 314293 376913 9443 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Aotus nancymaae	|	 	|	37293 9504 376918 9479 314293 376913 9443 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Aotus trivirgatus	|	 	|	9505 9504 376918 9479 314293 376913 9443 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Aotus vociferans	|	 	|	57176 9504 376918 9479 314293 376913 9443 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Aphanothece halophytica	|	 	|	72020 1121 1890450 1118 1301283 3028117 1117 1798711 1783272 2 131567 
1	|	Apis mellifera	|	 	|	7460 7459 83321 70987 7458 3042114 34735 7434 7400 7399 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Apium graveolens	|	 	|	4045 4044 241793 241780 241778 4037 364270 4036 91882 71274 1437201 91827 71240 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
